,id,code,day,net_value,sum_value,factor,acc_factor,refactor_net_value
0,632844,000011,2010-01-04,10.001,10.381,1.0,1.17304,11.731573
1,632845,000011,2010-01-05,10.124,10.504,1.0,1.17304,11.875857
2,632846,000011,2010-01-06,10.039,10.419,1.0,1.17304,11.776149
3,632847,000011,2010-01-07,9.869,10.249,1.0,1.17304,11.576732
4,632848,000011,2010-01-08,9.975,10.355,1.0,1.17304,11.701074
5,632849,000011,2010-01-11,10.037,10.417,1.0,1.17304,11.773802
6,632850,000011,2010-01-12,10.176,10.556,1.0,1.17304,11.936855
7,632851,000011,2010-01-13,9.961,10.341,1.0,1.17304,11.684651
8,632852,000011,2010-01-14,10.129,10.509,1.0,1.17304,11.881722
9,632853,000011,2010-01-15,10.266,10.646,1.0,1.17304,12.042429
10,632854,000011,2010-01-18,10.415,10.795,1.0,1.17304,12.217212
11,632855,000011,2010-01-19,10.432,10.812,1.0,1.17304,12.237153
12,632856,000011,2010-01-20,10.288,10.668,1.0,1.17304,12.068236
13,632857,000011,2010-01-21,10.349,10.729,1.0,1.17304,12.139791
14,632858,000011,2010-01-22,10.277,10.657,1.0,1.17304,12.055332
15,632859,000011,2010-01-25,10.11,10.49,1.0,1.17304,11.859434
16,632860,000011,2010-01-26,9.817,10.197,1.0,1.17304,11.515734
17,632861,000011,2010-01-27,9.697,10.077,1.0,1.17304,11.374969
18,632862,000011,2010-01-28,9.781,10.161,1.0,1.17304,11.473504
19,632863,000011,2010-01-29,9.827,10.207,1.0,1.17304,11.527464
20,632864,000011,2010-02-01,9.804,10.184,1.0,1.17304,11.500484
21,632865,000011,2010-02-02,9.799,10.179,1.0,1.17304,11.494619
22,632866,000011,2010-02-03,9.972,10.352,1.0,1.17304,11.697555
23,632867,000011,2010-02-04,10.006,10.386,1.0,1.17304,11.737438
24,632868,000011,2010-02-05,9.783,10.163,1.0,1.17304,11.47585
25,632869,000011,2010-02-08,9.72,10.1,1.0,1.17304,11.401949
26,632870,000011,2010-02-09,9.738,10.118,1.0,1.17304,11.423064
27,632871,000011,2010-02-10,9.881,10.261,1.0,1.17304,11.590808
28,632872,000011,2010-02-11,9.864,10.244,1.0,1.17304,11.570867
29,632873,000011,2010-02-12,10.005,10.385,1.0,1.17304,11.736265
30,632874,000011,2010-02-22,10.025,10.405,1.0,1.17304,11.759726
31,632875,000011,2010-02-23,10.116,10.496,1.0,1.17304,11.866473
32,632876,000011,2010-02-24,10.243,10.623,1.0,1.17304,12.015449
33,632877,000011,2010-02-25,10.348,10.728,1.0,1.17304,12.138618
34,632878,000011,2010-02-26,10.378,10.758,1.0,1.17304,12.173809
35,632879,000011,2010-03-01,10.497,10.877,1.0,1.17304,12.313401
36,632880,000011,2010-03-02,10.535,10.915,1.0,1.17304,12.357976
37,632881,000011,2010-03-03,10.566,10.946,1.0,1.17304,12.394341
38,632882,000011,2010-03-04,10.336,10.716,1.0,1.17304,12.124541
39,632883,000011,2010-03-05,10.359,10.739,1.0,1.17304,12.151521
40,632884,000011,2010-03-08,10.455,10.835,1.0,1.17304,12.264133
41,632885,000011,2010-03-09,10.473,10.853,1.0,1.17304,12.285248
42,632886,000011,2010-03-10,10.354,10.734,1.0,1.17304,12.145656
