,id,code,period_start,period_end,pub_date,report_type_id,report_type,rank,symbol,name,shares,market_cap,proportion
0,13246789,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,1,600987,航民股份,800000.0,10368000.0,3.53
1,13246790,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,2,002496,辉丰股份,1999986.0,9919930.56,3.38
2,13246791,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,3,600104,上汽集团,300000.0,9315000.0,3.17
3,13246792,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,4,300258,精锻科技,500000.0,8255000.0,2.81
4,13246793,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,5,600019,宝钢股份,1000000.0,6710000.0,2.29
5,13246794,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,6,601328,交通银行,1000000.0,6160000.0,2.1
6,13246795,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,7,002511,中顺洁柔,449893.0,5952084.39,2.03
7,13246796,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,8,601333,广深铁路,1300000.0,5876000.0,2.0
8,13246797,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,9,600027,华电国际,1200000.0,5796000.0,1.97
9,13246798,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,10,000581,威孚高科,200000.0,5180000.0,1.77
10,13246799,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,11,000596,古井贡酒,100000.0,5095000.0,1.74
11,13246800,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,12,600428,中远海特,800000.0,4976000.0,1.7
12,13246801,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,13,000501,鄂武商Ａ,266248.0,4914938.08,1.67
13,13246802,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,14,601800,中国交建,300000.0,4767000.0,1.62
14,13246803,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,15,000963,华东医药,95616.0,4752115.2,1.62
15,13246804,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,16,300316,晶盛机电,358138.0,4473143.62,1.52
16,13246805,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,17,601799,星宇股份,100000.0,4422000.0,1.51
17,13246806,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,18,600066,宇通客车,200000.0,4394000.0,1.5
18,13246807,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,19,600029,南方航空,500000.0,4350000.0,1.48
19,13246808,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,20,000968,蓝焰控股,300000.0,4338000.0,1.48
20,13246809,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,21,002048,宁波华翔,200000.0,4172000.0,1.42
21,13246810,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,22,002376,新北洋,300000.0,4116000.0,1.4
22,13246811,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,23,601336,新华保险,80000.0,4112000.0,1.4
23,13246812,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,24,601818,光大银行,1000000.0,4050000.0,1.38
24,13246813,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,25,601111,中国国航,400000.0,3900000.0,1.33
25,13246814,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,26,603368,柳州医药,66338.0,3797850.5,1.29
26,13246815,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,27,600270,外运发展,200000.0,3786000.0,1.29
27,13246816,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,28,600109,国金证券,300000.0,3516000.0,1.2
28,13246817,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,29,603517,绝味食品,100000.0,3487000.0,1.19
29,13246818,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,30,601021,春秋航空,100000.0,3363000.0,1.15
30,13246819,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,31,002182,云海金属,365300.0,3357107.0,1.14
31,13246820,003567,2017-02-04,2017-06-30,2017-08-26,403005,半年度,32,002449,国星光电,200000.0,3310000.0,1.13
