code,date,weight,display_name
000001.XSHE,2009-12-31,1.355,平安银行
600660.XSHG,2009-12-31,0.268,福耀玻璃
600655.XSHG,2009-12-31,0.312,豫园股份
600653.XSHG,2009-12-31,0.139,申华控股
600649.XSHG,2009-12-31,0.26,城投控股
600643.XSHG,2009-12-31,0.17,爱建集团
600642.XSHG,2009-12-31,0.294,申能股份
600639.XSHG,2009-12-31,0.058,浦东金桥
600638.XSHG,2009-12-31,0.139,新黄浦
600663.XSHG,2009-12-31,0.184,陆家嘴
600635.XSHG,2009-12-31,0.229,大众公用
600616.XSHG,2009-12-31,0.082,金枫酒业
600611.XSHG,2009-12-31,0.136,大众交通
600601.XSHG,2009-12-31,0.159,ST方科
600600.XSHG,2009-12-31,0.234,青岛啤酒
600598.XSHG,2009-12-31,0.187,北大荒
600597.XSHG,2009-12-31,0.053,光明乳业
600596.XSHG,2009-12-31,0.174,新安股份
600595.XSHG,2009-12-31,0.153,ST中孚
600631.XSHG,2009-12-31,0.213,百联股份
600588.XSHG,2009-12-31,0.124,用友网络
600664.XSHG,2009-12-31,0.246,哈药股份
600675.XSHG,2009-12-31,0.201,中华企业
600811.XSHG,2009-12-31,0.169,东方集团
600809.XSHG,2009-12-31,0.1,山西汾酒
600808.XSHG,2009-12-31,0.216,马钢股份
600804.XSHG,2009-12-31,0.112,鹏博士
600795.XSHG,2009-12-31,0.36,国电电力
600782.XSHG,2009-12-31,0.067,新钢股份
600779.XSHG,2009-12-31,0.14,水井坊
600770.XSHG,2009-12-31,0.082,综艺股份
600674.XSHG,2009-12-31,0.108,川投能源
600748.XSHG,2009-12-31,0.108,上实发展
600739.XSHG,2009-12-31,0.615,辽宁成大
600737.XSHG,2009-12-31,0.151,中粮糖业
600718.XSHG,2009-12-31,0.115,东软集团
600717.XSHG,2009-12-31,0.186,天津港
600694.XSHG,2009-12-31,0.23,大商股份
600690.XSHG,2009-12-31,0.356,海尔智家
600688.XSHG,2009-12-31,0.191,上海石化
600685.XSHG,2009-12-31,0.08,中船防务
600741.XSHG,2009-12-31,0.268,华域汽车
600812.XSHG,2009-12-31,0.172,华北制药
600585.XSHG,2009-12-31,0.476,海螺水泥
600582.XSHG,2009-12-31,0.168,天地科技
600376.XSHG,2009-12-31,0.081,首开股份
600362.XSHG,2009-12-31,0.353,江西铜业
600352.XSHG,2009-12-31,0.189,浙江龙盛
600350.XSHG,2009-12-31,0.063,山东高速
600348.XSHG,2009-12-31,0.416,华阳股份
600331.XSHG,2009-12-31,0.2,宏达股份
600325.XSHG,2009-12-31,0.219,华发股份
600320.XSHG,2009-12-31,0.327,振华重工
600380.XSHG,2009-12-31,0.092,健康元
600316.XSHG,2009-12-31,0.105,洪都航空
600308.XSHG,2009-12-31,0.115,华泰股份
600307.XSHG,2009-12-31,0.111,酒钢宏兴
600299.XSHG,2009-12-31,0.064,安迪苏
600282.XSHG,2009-12-31,0.073,南钢股份
600276.XSHG,2009-12-31,0.292,恒瑞医药
600271.XSHG,2009-12-31,0.134,航天信息
600270.XSHG,2009-12-31,0.057,外运发展
600269.XSHG,2009-12-31,0.182,赣粤高速
600309.XSHG,2009-12-31,0.357,万华化学
600583.XSHG,2009-12-31,0.265,海油工程
600383.XSHG,2009-12-31,0.494,金地集团
600415.XSHG,2009-12-31,0.272,小商品城
600569.XSHG,2009-12-31,0.098,安阳钢铁
600550.XSHG,2009-12-31,0.33,保变电气
600549.XSHG,2009-12-31,0.069,厦门钨业
600548.XSHG,2009-12-31,0.03,深高速
600547.XSHG,2009-12-31,0.511,山东黄金
600528.XSHG,2009-12-31,0.171,中铁工业
600519.XSHG,2009-12-31,1.148,贵州茅台
600518.XSHG,2009-12-31,0.226,*ST康美
600395.XSHG,2009-12-31,0.174,盘江股份
600516.XSHG,2009-12-31,0.094,方大炭素
600500.XSHG,2009-12-31,0.153,中化国际
600497.XSHG,2009-12-31,0.286,驰宏锌锗
600489.XSHG,2009-12-31,0.412,中金黄金
600456.XSHG,2009-12-31,0.088,宝钛股份
600432.XSHG,2009-12-31,0.201,退市吉恩
600428.XSHG,2009-12-31,0.124,中远海特
600426.XSHG,2009-12-31,0.146,华鲁恒升
600418.XSHG,2009-12-31,0.147,江淮汽车
600508.XSHG,2009-12-31,0.13,上海能源
600816.XSHG,2009-12-31,0.112,ST安信
600820.XSHG,2009-12-31,0.128,隧道股份
600832.XSHG,2009-12-31,0.324,东方明珠
601186.XSHG,2009-12-31,0.504,中国铁建
601958.XSHG,2009-12-31,0.33,金钼股份
601898.XSHG,2009-12-31,0.445,中煤能源
601899.XSHG,2009-12-31,0.364,紫金矿业
601601.XSHG,2009-12-31,1.444,中国太保
601866.XSHG,2009-12-31,0.197,中远海发
002202.XSHE,2009-12-31,0.431,金风科技
601918.XSHG,2009-12-31,0.119,新集能源
002244.XSHE,2009-12-31,0.07,滨江集团
601390.XSHG,2009-12-31,0.578,中国中铁
601857.XSHG,2009-12-31,0.929,中国石油
601088.XSHG,2009-12-31,2.056,中国神华
601808.XSHG,2009-12-31,0.172,中海油服
601939.XSHG,2009-12-31,0.997,建设银行
601169.XSHG,2009-12-31,1.509,北京银行
002155.XSHE,2009-12-31,0.125,湖南黄金
601009.XSHG,2009-12-31,0.445,南京银行
002142.XSHE,2009-12-31,0.391,宁波银行
002194.XSHE,2009-12-31,0.065,武汉凡谷
601168.XSHG,2009-12-31,0.439,西部矿业
002242.XSHE,2009-12-31,0.078,九阳股份
601766.XSHG,2009-12-31,0.4,中国中车
000100.XSHE,2009-12-31,0.216,TCL科技
000089.XSHE,2009-12-31,0.091,深圳机场
000069.XSHE,2009-12-31,0.478,华侨城A
000063.XSHE,2009-12-31,0.742,中兴通讯
000061.XSHE,2009-12-31,0.115,农产品
000060.XSHE,2009-12-31,0.358,中金岭南
000059.XSHE,2009-12-31,0.125,华锦股份
000046.XSHE,2009-12-31,0.116,泛海控股
002269.XSHE,2009-12-31,0.081,美邦服饰
000039.XSHE,2009-12-31,0.202,中集集团
000027.XSHE,2009-12-31,0.16,深圳能源
000024.XSHE,2009-12-31,0.328,招商地产
000021.XSHE,2009-12-31,0.101,深科技
000012.XSHE,2009-12-31,0.136,南玻A
000009.XSHE,2009-12-31,0.171,中国宝安
000002.XSHE,2009-12-31,1.873,万科A
601727.XSHG,2009-12-31,0.106,上海电气
000031.XSHE,2009-12-31,0.182,大悦城
601919.XSHG,2009-12-31,0.57,中远海控
601600.XSHG,2009-12-31,0.496,中国铝业
601328.XSHG,2009-12-31,3.038,交通银行
600027.XSHG,2009-12-31,0.103,华电国际
600143.XSHG,2009-12-31,0.132,金发科技
600022.XSHG,2009-12-31,0.118,山东钢铁
002038.XSHE,2009-12-31,0.12,双鹭药业
002028.XSHE,2009-12-31,0.127,思源电气
002024.XSHE,2009-12-31,1.041,苏宁易购
600997.XSHG,2009-12-31,0.279,开滦股份
600900.XSHG,2009-12-31,1.052,长江电力
600970.XSHG,2009-12-31,0.112,中材国际
600895.XSHG,2009-12-31,0.178,张江高科
600881.XSHG,2009-12-31,0.308,亚泰集团
600879.XSHG,2009-12-31,0.134,航天电子
600875.XSHG,2009-12-31,0.269,东方电气
600874.XSHG,2009-12-31,0.044,创业环保
600859.XSHG,2009-12-31,0.156,王府井
600839.XSHG,2009-12-31,0.178,四川长虹
600837.XSHG,2009-12-31,1.413,海通证券
600835.XSHG,2009-12-31,0.099,上海机电
600886.XSHG,2009-12-31,0.105,国投电力
601001.XSHG,2009-12-31,0.27,晋控煤业
601988.XSHG,2009-12-31,0.503,中国银行
600048.XSHG,2009-12-31,0.564,保利发展
