code,name,start_date,name_change
801010,农林牧渔I,2004/2/9,农林牧渔
801090,交运设备I,2004/2/10,交运设备
801170,交通运输I,2004/2/10,交通运输
801210,休闲服务I,2004/2/10,休闲服务
801220,信息服务I,2004/2/10,信息服务
801100,信息设备I,2004/2/10,信息设备
801160,公用事业I,2004/2/10,公用事业
801030,化工I,2004/2/10,化工
801150,医药生物I,2004/2/10,医药生物
801200,商业贸易I,2004/2/10,商业贸易
801110,家用电器I,2004/2/10,家用电器
801060,建筑建材I,2004/2/10,建筑建材
801180,房地产I,2004/2/10,房地产
801050,有色金属I,2004/2/10,有色金属
801070,机械设备I,2004/2/10,机械设备
801080,电子I,2004/2/10,电子
801130,纺织服装I,2004/2/10,纺织服装
801230,综合I,2004/2/10,综合
801140,轻工制造I,2004/2/10,轻工制造
801020,采掘I,2004/2/10,采掘
801190,金融服务I,2004/2/10,金融服务
801040,钢铁I,2004/2/10,钢铁
801120,食品饮料I,2004/2/10,食品饮料
801760,传媒I,2014/2/21,传媒
801740,国防军工I,2014/2/21,国防军工
801710,建筑材料I,2014/2/21,建筑材料
801720,建筑装饰I,2014/2/21,建筑装饰
801890,机械设备I,2014/2/21,机械设备2
801880,汽车I,2014/2/21,汽车
801730,电气设备I,2014/2/21,电气设备
801750,计算机I,2014/2/21,计算机
801770,通信I,2014/2/21,通信
801780,银行I,2014/2/21,银行
801790,非银金融I,2014/2/21,非银金融
801950,煤炭I,2021/12/11,煤炭
801970,环保I,2021/12/11,环保
801960,石油石化I,2021/12/11,石油石化
801980,美容护理I,2021/12/11,美容护理
