code,name,start_date,name_change
801740,国防军工I,2014/2/21,国防军工I
801020,采掘I,2004/2/10,采掘I
801110,家用电器I,2004/2/10,家用电器I
801160,公用事业I,2004/2/10,公用事业I
801770,通信I,2014/2/21,通信I
801010,农林牧渔I,2004/2/9,农林牧渔I
801120,食品饮料I,2004/2/10,食品饮料I
801750,计算机I,2014/2/21,计算机I
801050,有色金属I,2004/2/10,有色金属I
801890,机械设备I,2014/2/21,机械设备I
801170,交通运输I,2004/2/10,交通运输I
801710,建筑材料I,2014/2/21,建筑材料I
801780,银行I,2014/2/21,银行I
801130,纺织服装I,2004/2/10,纺织服装I
801180,房地产I,2004/2/10,房地产I
801760,传媒I,2014/2/21,传媒I
801200,商业贸易I,2004/2/10,商业贸易I
801230,综合I,2004/2/10,综合I
801880,汽车I,2014/2/21,汽车I
801140,轻工制造I,2004/2/10,轻工制造I
801720,建筑装饰I,2014/2/21,建筑装饰I
801080,电子I,2004/2/10,电子I
801790,非银金融I,2014/2/21,非银金融I
801030,化工I,2004/2/10,化工I
801210,休闲服务I,2004/2/10,休闲服务I
801150,医药生物I,2004/2/10,医药生物I
801730,电气设备I,2014/2/21,电气设备I
801040,钢铁I,2004/2/10,钢铁I
