,行业,基准指数配置占比,基金配置占比,配置权重差（基金-基准）
0,农林牧渔,0.011324615384615384,0.022510120229898962,0.011185504845283578
1,交运设备,0.0,0.0,0.0
2,交通运输,0.033556923076923074,0.007952357269789696,-0.025604565807133377
3,休闲服务,0.00754,0.00754655034413751,6.5503441375102875e-06
4,信息服务,0.0,0.0,0.0
5,信息设备,0.0,0.0,0.0
6,公用事业,0.030740769230769224,0.009900382945978744,-0.02084038628479048
7,化工,0.026363076923076927,0.06925124535534409,0.042888168432267164
8,医药生物,0.0701723076923077,0.0661230876611571,-0.004049220031150602
9,商业贸易,0.009078461538461537,0.010883317305358327,0.0018048557668967902
10,家用电器,0.04135384615384615,0.003655935005088288,-0.03769791114875786
11,建筑建材,0.0,0.0,0.0
12,房地产,0.04678923076923077,0.023172749617781895,-0.023616481151448876
13,有色金属,0.025916923076923077,0.031766342845764614,0.005849419768841537
14,机械设备,0.0,0.0,0.0
15,电子,0.05632307692307692,0.14322853860665938,0.08690546168358246
16,纺织服装,0.0014923076923076925,0.002534982524384042,0.0010426748320763496
17,综合,0.0019399999999999999,0.0011844492237582708,-0.0007555507762417291
18,轻工制造,0.0016253846153846153,0.0016796181951503125,5.423357976569714e-05
19,采掘,0.01606923076923077,0.009132615532558942,-0.006936615236671828
20,金融服务,0.0,0.0,0.0
21,钢铁,0.009726153846153846,0.010242875341065567,0.0005167214949117205
22,食品饮料,0.08080999999999999,0.024489974004707926,-0.05632002599529207
23,传媒,0.030310000000000004,0.0724965087159796,0.04218650871597959
24,国防军工,0.018263076923076924,0.053823153114999335,0.03556007619192241
25,建筑材料,0.008330769230769228,0.02593910214026437,0.017608332909495143
26,建筑装饰,0.03243,0.015386248997252114,-0.017043751002747888
27,机械设备2,0.021683076923076923,0.04686279775034855,0.02517972082727163
28,汽车,0.031246153846153847,0.05965186208981994,0.028405708243666096
29,电气设备,0.02297923076923077,0.05678922846381889,0.03380999769458812
30,计算机,0.024644615384615383,0.08707253686780098,0.06242792148318559
31,通信,0.016846923076923075,0.01720907891856368,0.00036215584164060385
32,银行,0.1632669230769231,0.04696033894930375,-0.11630658412761934
33,非银金融,0.15820615384615386,0.05809678374795694,-0.10010937009819693
34,煤炭,0.0,0.0,0.0
35,环保,0.0,0.0,0.0
36,石油石化,0.0,0.0,0.0
37,美容护理,0.0,0.0,0.0
38,其它,0.0009607692307692309,0.014457218235308154,0.013496449004538924
